,beads,Total,gdTC,B cells,NK cells,ILC2,CD8,CD4,CD4 Tconv,CD4 Treg,cell count,fraction stained
A1 Spleen NOD_001.fcs,4425,434000,5808,232494,4300,136,65465,87245,78653,8428,84500000,
A2 Spleen NOD_002.fcs,3804,438000,5789,231006,5788,135,50111,96329,82501,13601,87000000,
A3 Spleen NOD_003.fcs,3922,355942,4498,170422,3810,164,49502,97674,86277,11178,59750000,
A4 Spleen NOD_004.fcs,4183,355810,4726,181142,4946,166,44750,86654,75010,11441,79000000,
A5 Spleen C57_005.fcs,4379,500000,2593,291120,11929,98,55736,92846,79943,12671,113750000,
A6 Spleen C57_006.fcs,3812,462000,2139,284848,10622,106,47005,79149,67959,10982,118500000,
A7 Spleen C57_007.fcs,4044,307303,2160,181490,7510,67,37147,51930,46592,5236,79000000,
A8 Spleen C57_008.fcs,3771,328951,2304,192728,6873,75,41130,59248,52214,6917,95000000,
A9 Spleen BALB_009.fcs,5128,533000,2594,321002,26140,81,57466,80232,66932,13131,110500000,
A10 Spleen BALB_010.fcs,2958,372586,1680,217932,19161,77,38884,65148,54175,10792,89500000,
A11 Spleen CBA_011.fcs,3338,426000,3889,220462,15773,185,57963,94110,84182,9749,86750000,
A12 Spleen CBA_012.fcs,3767,388284,3242,199381,13237,209,52627,91031,81000,9758,78250000,
B9 Spleen CD1_013.fcs,3611,268996,1578,175686,5215,135,18445,40596,35529,4942,183500000,
B10 Spleen CD1_014.fcs,3781,377336,3659,227074,10997,112,29109,75411,62031,13074,267500000,
B11 Spleen 129_015.fcs,3462,504000,5073,297285,7038,254,52975,95974,76885,18676,86250000,
B12 Spleen 129_016.fcs,3584,533000,5318,324084,7772,290,56160,95259,77646,17274,98750000,
D1 pLN NOD_001.fcs,4262,95504,657,29945,55,37,20808,38324,34968,3270,8920000,
D2 pLN NOD_002.fcs,3495,135902,1026,34623,67,58,31273,61003,54306,6530,12700000,
D3 pLN NOD_003.fcs,4003,153444,1083,41025,79,64,36745,66028,59163,6704,8130000,
D4 pLN NOD_004.fcs,4060,152896,876,38362,101,77,35005,69688,62699,6810,7020000,
D5 pLN C57_005.fcs,3975,40720,173,13514,390,37,10038,12191,10393,1759,5210000,
D6 pLN C57_006.fcs,3619,23815,92,8009,157,49,4594,6638,5541,1066,13700000,
D7 pLN C57_007.fcs,2827,80002,541,19538,307,110,24132,26532,23715,2739,8190000,
D8 pLN C57_008.fcs,4253,96880,621,26565,390,79,26716,32331,28765,3460,76200000,
D9 pLN BALB_009.fcs,3211,164110,421,41864,587,94,29499,71329,64298,6855,12500000,
D10 pLN BALB_010.fcs,3827,205043,572,50643,879,194,40539,92447,83148,9077,6350000,
D11 pLN CBA_011.fcs,4625,17887,78,3218,273,5,4393,7518,6911,588,8700000,
D12 pLN CBA_012.fcs,3820,50249,243,8732,852,57,11430,23670,21709,1898,6100000,
E9 pLN CD1_013.fcs,2791,99166,650,13520,285,63,25619,56763,48677,7891,8120000,
E10 pLN CD1_014.fcs,3298,139064,1108,22044,517,124,32249,79089,68920,9921,8440000,
E11 pLN 129_015.fcs,3963,101512,549,19096,258,35,25853,53383,45447,7758,19700000,
E12 pLN 129_016.fcs,3734,151825,673,30901,395,101,37828,78110,68006,9866,7480000,
G1 Pancreas NOD_001.fcs,4737,65985,1696,22068,2400,2260,4718,12496,10218,2229,,0.333333333
G2 Pancreas NOD_002.fcs,4859,56545,1942,19555,2682,2564,1771,6624,4751,1839,,0.333333333
G3 Pancreas NOD_003.fcs,5404,91927,2349,30172,3400,3195,6719,14903,11357,3454,,0.333333333
G4 Pancreas NOD_004.fcs,5062,70884,2146,25423,3595,3089,3639,12411,9171,3169,,0.333333333
G5 Pancreas C57_005.fcs,4716,36337,620,11695,2835,1728,828,4022,3615,402,,0.333333333
G6 Pancreas C57_006.fcs,4841,21643,359,7723,1625,1366,598,1406,1277,129,,0.333333333
G7 Pancreas C57_007.fcs,4619,80114,581,40738,1769,2636,8690,10672,9939,712,,0.333333333
G8 Pancreas C57_008.fcs,5115,34985,248,13382,1502,2275,2045,2708,2446,249,,0.333333333
G9 Pancreas BALB_009.fcs,4508,31796,240,6439,3742,5213,548,1436,1084,345,,0.333333333
G10 Pancreas BALB_010.fcs,4039,34201,128,5220,3940,6360,341,1783,1366,413,,0.333333333
G11 Pancreas CBA_011.fcs,3749,26439,593,11032,3203,1222,629,1632,1277,348,,0.333333333
G12 Pancreas CBA_012.fcs,3872,56894,792,17942,4768,1758,9198,11674,10028,1615,,0.333333333
H9 Pancreas CD1_013.fcs,4656,20207,314,1631,3232,3567,329,1210,937,268,,0.333333333
H10 Pancreas CD1_014.fcs,3295,42096,399,9871,2449,2255,2601,14089,12893,1147,,0.333333333
H11 Pancreas 129_015.fcs,3969,12759,241,1917,1873,805,361,1677,1402,266,,0.333333333
H12 Pancreas 129_016.fcs,5185,10998,245,2285,1439,848,129,593,484,108,,0.333333333
